Phrase,Sentiment
silly humbuggery ...,1
"a happy , heady jumble of thought and storytelling",4
A marvelous performance,4
old-hat,1
"against each other so intensely , but with restraint",2
becomes claustrophobic,1
is high on squaddie banter,1
its elegantly colorful look,3
its DreamWorks makers,2
Bros. giant Chuck Jones,2
"Your response to its new sequel , Analyze That , may hinge on what you thought of the first film .",2
A compelling allegory about the last days of Germany 's democratic Weimar Republic,3
torn apart by a legacy of abuse,1
wrong thanks,1
of the sensational,2
frantic,1
make this,2
a gross-out monster movie,2
is n't quite out of ripe screwball ideas,2
any less enjoyable,1
"No amount of arty theorizing -- the special effects are ` German-Expressionist , ' according to the press notes -- can render it anything but laughable .",0
"not quite `` Shrek '' or `` Monsters , Inc. ''",2
This erotic cannibal movie is boring,1
spent the duration of the film 's shooting schedule waiting to scream,0
because it 's lousy,0
part of being a good documentarian is being there when the rope snaps,2
none-too-funny,1
parable .,2
visually ugly,1
through the sugar coating,1
"A good music documentary , probably one of the best since The Last Waltz",4
white-knuckled,3
that portrays the frank humanity of ... emotional recovery,3
fil,2
spent the duration of the film 's shooting schedule waiting to scream :,1
premise work,2
is better than ` Shindler 's List ',4
Blonde,2
to a time,2
More vaudeville show than well-constructed narrative,1
in which Adam Sandler will probably ever appear,2
seventeen,2
"lies somewhere in the story of Matthew Shepard ,",2
ruins every single scene he 's in,1
's a big idea,2
have faded,2
"Its compelling mix of trial movie , escape movie and unexpected fable",4
said that Warm Water Under a Red Bridge is a poem to the enduring strengths of women,3
give each other,2
the saccharine sentimentality,1
playful respite,3
simpleminded,2
of these days,2
sets Ms. Birot 's film,2
beyond the promise of a reprieve,2
the struggle,2
"We admire this film for its harsh objectivity and refusal to seek our tears , our sympathies .",4
laugh so much,3
UB,2
too preachy,2
"A sexy , surprising romance",4
"self-consciously flashy camera effects , droning house music and",1
shows its indie tatters and self-conscious seams,1
of disturbed genius,3
are too cute,3
Collapses after 30 minutes into a slap-happy series of adolescent violence .,0
origin,2
gay '70s,2
making a vanity project with nothing new to offer,2
by Yourself,2
"are incredibly captivating and insanely funny ,",4
favour,3
I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life --,3
"its heart , as simple self-reflection meditation",3
incoherent jumble,0
irrepressible passion,3
what a world we 'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve,3
a Jerry Bruckheimer,2
humor or stock ideas,2
luminous interviews,4
is a shrewd and effective film from a director who understands how to create and sustain a mood,3
a wallflower,2
fails to match the freshness of the actress-producer and writer,0
"amounts to being lectured to by tech-geeks , if you 're up for that sort of thing .",2
Has all the scenic appeal of a cesspool .,0
A strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet .,4
as much fun,3
deft punctuation,3
happen to bad people,2
something hip and,2
", every shot enhances the excellent performances",4
have otherwise been bland,2
in a fairly irresistible package full of privileged moments and memorable performances,4
enthusiastic charm,3
's most refreshing about Real Women Have Curves,3
"ugly , revolting movie",0
was just,2
who take as many drugs as the film 's characters,1
"offensive , puerile and",1
reception,2
of those who paid for it and those who pay to see it,2
prefabricated story elements,1
"Still , the pulse never disappears entirely ,",3
action films,2
"I liked the original short story but this movie , even at an hour and twenty-some minutes ,",2
comedy cycle,2
unrelieved by any comedy beyond the wistful everyday ironies of the working poor .,2
I 'd care to count,2
"As an introduction to the man 's theories and influence , Derrida is all but useless ;",1
"-LRB- Crudup -RRB- a suburban architect , and a cipher",2
formalist experimentation in cinematic art,2
the country,2
more glaring signs,2
right into the center of that world,3
mother\/daughter struggle,2
rarely achieves its best,1
"this shimmering , beautifully costumed and filmed production",3
complex web,2
has too many spots where it 's on slippery footing,1
brutally,2
communicates something,3
"Payami tries to raise some serious issues about Iran 's electoral process , but",2
hook ups,2
a total loss,0
working from Don Mullan 's script,2
Tyson,2
learned the hard way just,1
finely tuned,3
A compelling allegory about the last days of Germany 's democratic Weimar Republic .,3
"his oppressive , right-wing , propriety-obsessed family",1
is better-focused than the incomprehensible Anne Rice novel it 's based upon,3
closer to the failure of the third Revenge of the Nerds sequel,1
the fifth Trek flick,2
"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",4
the thematic ironies are too obvious,1
and audacious moments,2
The Master of Disguise is funny -- not,0
has seen certain Trek films,2
an engaging mystery,3
This remake of Lina Wertmuller 's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since John and,0
this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life,3
a fan of vegetables,2
maintain a straight face,3
an engrossing story about a horrifying historical event and,3
of a balanced film that explains the zeitgeist that is the X Games,3
succumbs to gravity and plummets to earth,1
this and that,2
stray,2
an exploratory medical procedure or,2
the theater wondering why these people mattered,1
"Funny , though .",2
irrigates our souls,2
"It follows the Blair Witch formula for an hour , in which we 're told something creepy and vague is in the works",2
lowly,2
than he realizes,2
The good thing -- the only good thing -- about Extreme Ops is that it 's so inane that it gave me plenty of time to ponder my Thanksgiving to-do list .,2
", or inventive ,",2
Jean-Luc Godard continues to baffle the faithful with his games of hide-and-seek .,2
A devastating indictment,2
to shtick and sentimentality,3
"Shreve 's graceful dual narrative gets clunky on the screen , and",1
as this,2
A truly wonderful tale combined with stunning animation .,4
"ends up more of a creaky `` Pretty Woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought",1
touching good sense,3
own way,2
between the two brothers,2
oh-so-important,3
anyone in his right mind,2
injects just enough freshness,3
"retelling a historically significant , and personal , episode",3
the mysteries lingered,2
"unusual , even nutty",2
an older one,2
Miyazaki 's nonstop images,2
"is a nicely handled affair , a film about human darkness but etched with a light -LRB- yet unsentimental -RRB- touch",3
-LRB- the leads -RRB- are such a companionable couple,3
A very pretty after-school,3
iconoclastic abandon,2
deploys,2
Where their heads were,1
will be hard to burn out of your brain,1
life-altering experiences,2
the Rings,2
"failed jokes , twitchy acting ,",1
far less about the horrifying historical reality than about the filmmaker 's characteristic style,2
The only thing to fear about `` Fear Dot Com '',2
melancholia,2
Chabrol 's most intense psychological mysteries,3
rise to fans ' lofty expectations,3
a summer,3
great minds,3
Bugsy than the caterer,2
is never lethargic,3
's thanks to Huston 's revelatory performance,3
good a job,2
the pandering to a moviegoing audience dominated by young males is all too calculated,1
this kind of idea work,2
seems to be idling in neutral,2
when Green threw medical equipment at a window ; not because it was particularly funny,2
the true impact of the day unfolds,2
turmoil,1
entitled,2
raises serious questions about the death penalty,2
Some are fascinating and,3
the distance,3
visual,2
of day,2
look back at what it was to be Iranian-American in 1979 .,2
than he or anyone else could chew,2
in excess layers of hipness,1
guy loses girl,2
also smacks of revelation,2
glows,3
shifting in your chair,2
"her tough , funny , rather chaotic show",3
A wild ride of a movie that keeps throwing fastballs .,3
's horribly depressing and not very well done .,1
final minutes,2
of tones and styles,2
imaginative as one,2
the record,2
homicide cop,2
The footage,2
trifling romantic comedy,2
wit to keep parents away from the concession stand,3
often reel in when we should be playing out,2
might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention,1
this loose collection of largely improvised numbers would probably have worked better as a one-hour TV documentary .,1
to the genre,2
do n't think most of the people who loved the 1989 Paradiso will prefer this new version .,1
your average formulaic romantic quadrangle,2
Shame on writer\/director Vicente Aranda,0
of the worst movies of one year,0
it is a whole lot of fun and,4
"It was the unfulfilling , incongruous , `` wait a second",1
"At its most basic , this cartoon adventure is that wind-in-the-hair exhilarating .",3
does n't just slip,2
for a satisfying evening at the multiplex,3
inane and,1
it 's lacking a depth in storytelling usually found in anime like this,2
cultural differences,3
the resonant and sense-spinning Run Lola Run,2
Peter Mattei 's,2
is wrong in its sequel,1
the current climate,2
When it 's this rich and luscious,4
"about the monsters we make , and the vengeance they",3
Wars fans,2
Until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,1
with propaganda,2
is an inexpressible and drab wannabe looking for that exact niche,1
may have intended,2
", the film is blazingly alive and admirable on many levels .",4
"a slightly crazed , overtly determined young woman",2
along every day,2
a decent sense of humor and plenty of things that go boom,3
sets this romantic comedy apart from most Hollywood romantic comedies,3
maddeningly,1
... a true delight .,4
of predecessors,2
89 minutes,2
is in there somewhere,3
manual animation,2
learned from watching ` Comedian ',3
left an acrid test in this gourmet 's mouth,0
seem to ask whether our civilization offers a cure for Vincent 's complaint,2
brought something fresher,3
might add -- slice of comedic bliss,4
Precocious smarter-than-thou wayward teen,3
even flicks in general,2
in charm and charisma,2
creates in Maelstrom a world where the bizarre is credible and the real turns magical,4
for the complicated love triangle that develops between the three central characters,3
the cultural moat surrounding its ludicrous and contrived plot,0
of the expression,2
a particular theatrical family,2
"... is , also , frequently hilarious .",3
visually ravishing,4
explore same-sex culture,2
great submarine stories,4
The bad sound,1
intellectual and emotional,3
Frodo 's,2
to want both,2
What results is the best performance from either in years .,4
for the course for Disney sequels,2
Police Academy flicks,2
of fatherhood,2
is as difficult for the audience to take as it,1
to the chase of the modern girl 's dilemma,2
", emotionally devastating piece",3
"As a hybrid teen thriller and murder mystery , Murder by Numbers fits the profile too closely .",2
an odd amalgam,2
to hit all of its marks,3
worshipful,3
resolutely unamusing,1
"youthful , out-to-change-the-world aggressiveness",3
While it 's nothing we have n't seen before from Murphy,2
Axel Hellstenius,2
even more damage,2
to their most virtuous limits,2
Frankie,2
into that annoying specimen of humanity,1
South Vietnamese,2
retrieve,2
as a hole in the head,1
mockumentary,2
possibly come .,2
engaging despite being noticeably derivative of Goodfellas and at least a half dozen other trouble-in-the-ghetto flicks,3
as you want it to be,2
Suffers from over-familiarity since hit-hungry British filmmakers have strip-mined the Monty formula mercilessly since 1997 .,0
"Wladyslaw Szpilman , who is not only a pianist , but a good human being",2
than an hour,2
"Even with its $ 50-million US budget , Pinocchio never quite achieves the feel of a fanciful motion picture .",1
dating comedy,2
lacks considerable brio for a film about one of cinema 's directorial giants .,2
is one helluva singer,3
"It 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage .",4
"'s consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought",2
Arteta,2
its sparkling beauty,3
delivered in grand passion by the members of the various households .,3
's the Russian word for Wow !? ',3
While it is interesting to witness the conflict from the Palestinian side,2
can not help be entertained by the sight of someone getting away with something,3
"feel the screenwriter at every moment ` Tap , tap , tap ,",3
at a Hollywood career,2
the plot -LRB- other than its one good idea -RRB-,2
watch -- but,2
both endeavors,2
He thinks the film is just as much a document about him as it is about the subject .,1
We 've liked Klein 's other work,2
A word of advice to the makers of The Singles Ward : Celebrity cameos do not automatically equal laughs .,0
"Like The Rugrats movies , The Wild Thornberrys Movie does n't offer much more than the series , but its emphasis on caring for animals and respecting other cultures is particularly welcome .",3
"the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",4
on what you thought of the first film,2
offbeat humor,3
is that it 's also one of the smartest,3
subgenre,2
most frightening,1
out bizarre,2
escaped the Holocaust,2
"guide a loose , poorly structured film",1
the patience,2
that is fully formed and remarkably assured,3
wittier,3
Beautiful to watch and,4
did n't,2
under your seat,2
trivializes,2
with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting,3
is bad,0
of typical late-twenty-somethings natter on about nothing,1
its invitingly upbeat overture to,3
in ``,2
Even the digressions are funny .,3
", do we have that same option to slap her creators because they 're clueless and inept ?",0
me want to scream,1
have made to our shared history,2
and literally,2
Old people will love this movie,3
might not make for a while,2
is a mediocre movie trying to get out .,2
made me want to get made-up and go see this movie with my sisters,3
with sequences that make you,2
that made the first one charming,2
love Moore or,3
as robotic sentiment,2
muted freak-out,1
force its quirkiness,1
a haunting ode,2
somehow managed to make its way past my crappola radar and find a small place in my heart,3
derivative to stand on its own as the psychological thriller it purports to be,1
`` 9 1\/2 Weeks,2
live up to it,2
score and,2
Beresford,2
is like cold porridge with only the odd enjoyably chewy lump,1
erotically perplexing,2
Less cinematically powerful than quietly and deeply moving,2
"growing strange hairs ,",2
the immediate aftermath,3
"metal , fireballs and revenge",3
"The idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run .",1
this goes after one truth -LRB- the Ford administration 's complicity in tearing ` orphans ' from their mothers -RRB- and stumbles upon others even more compelling .,3
farcically bawdy fantasy,3
in the arguments of competing lawyers,3
Family togetherness takes a back seat to inter-family rivalry and workplace ambition,1
called `,2
including the supporting ones,2
mean you wo n't like looking at it,2
"handled affair , a film about human darkness but",2
makers,2
"There 's no real reason to see it ,",0
the harsh reality of my situation,1
at its cluelessness,1
Ace,2
a prince,2
... almost puts the kibosh on what is otherwise a sumptuous work of B-movie imagination .,2
sometimes,2
"they may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick",2
than an outright bodice-ripper,2
run out of gas,1
the cold light,1
"another genre exercise , Gangster No. 1 is as generic as its title .",0
consistently sensitive and,3
older fans or,2
"easy , comfortable",3
fax it,2
"'s too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present .",1
does n't have much else ... especially in a moral sense .,1
properties,2
little less bling-bling and,2
as well-conceived as either of those films,3
offers a ray of hope to the refugees able to look ahead and resist living in a past,3
jagged camera moves,1
basis,2
Club,2
which has all the actors reaching for the back row,2
"Because the film deliberately lacks irony , it has a genuine dramatic impact",3
creative action,3
the ` ick ' in ` classic,1
's happening,2
own cuteness,3
what it 's like on the other side of the bra,2
age and,2
turn away from one another instead of talking,1
"equate to being good ,",3
in the state of California,2
excellent use of music by India 's popular Gulzar and Jagjit Singh,4
its first sign of trouble,2
Adroit but finally,3
"Tsai Ming-liang 's witty , wistful new film",3
really happened,2
pick the lint off Borg Queen Alice Krige 's cape,2
"It 's like Rocky and Bullwinkle on Speed , but that 's neither completely enlightening , nor does it catch the intensity of the movie 's strangeness .",1
"There are a few chuckles , but not a single gag sequence that really scores , and",2
"'s mildly entertaining , especially if you find comfort in familiarity .",2
lo mein and General Tso 's chicken barely give a thought to the folks who prepare and deliver it,2
"it a step further , richer and deeper",3
"reluctant , irresponsible",1
"'s ... worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles with a film whose very subject is , quite pointedly , about the peril of such efforts .",3
leavened nicely,2
ever made about tattoos,2
other 's,2
the price of admission for the ridicule factor,0
can hide a weak script .,2
imparted,2
an Afterschool Special,2
feel more like literary conceits,2
needing,2
grocery,2
riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .,1
Avary seems to care about,3
a stand,2
summer fluff,1
the worthy successor to A Better Tomorrow,3
in the unfolding crisis,1
ideal casting,3
"I 've seen some bad singer-turned actors , but Lil Bow Wow takes the cake",0
written and directed so quietly that it 's implosion,2
Godard 's -RRB-,2
a product of its cinematic predecessors,2
first-timer Hilary Birmingham,2
it interesting as a character study is the fact that the story is told from Paul 's perspective,3
seater,2
or satirical target,2
In many ways,2
an absurdly simplistic picture,1
a few new swings,3
something fascinating,3
"It is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ;",3
with enough sardonic wit,3
made-for-TV movie,1
is a weirdly beautiful place,3
the class,2
"is wasted in this crass , low-wattage endeavor .",0
"dumb , narratively chaotic",0
About the best thing you could say about Narc,1
The sheer joy and pride,4
the best ensemble casts of the year,4
like a chump,2
a stirring time,2
"Reign of Fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness",2
fairy tale,2
of resources,2
"so many red herrings ,",1
wise-cracker stock persona,2
his wife look so bad in a major movie,1
Guei,2
tragic -RRB-,1
interesting failure,1
for naughty children 's stockings,2
all blown up to the size of a house,1
's based on true events,2
Philadelphia,2
makes the material seem genuine rather than pandering .,3
of those moments,2
Smith 's,2
OK,2
"children 's entertainment ,",2
that you 're left with a sour taste in your mouth,2
straightforward and strikingly devious,3
scenes of cinematic perfection,4
may be a mess in a lot of ways,1
"An ambitious movie that , like Shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off",4
Sometimes we feel as if the film careens from one colorful event to another without respite,2
by a Hollywood studio,2
"Wallace , who wrote Gibson 's Braveheart as well as the recent Pearl Harbor",2
... an adorably whimsical comedy that deserves more than a passing twinkle .,3
have been looking for,2
hitting,2
unclean,1
Easily the most thoughtful fictional examination of the root,3
ivans xtc .,2
about sociopaths and their marks,2
Rohmer 's talky films fascinate me,3
Broadway play,2
God is love,2
"The audacity to view one of Shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussion .",1
"might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead",1
described as a ghost story gone badly awry,1
is supremely unfunny and unentertaining to watch middle-age,0
gripping and handsome execution,3
so prolonged and boring,0
of God,2
after the fact,2
dues for good books unread,2
how thoroughly unrewarding all of this,0
"Audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching ,",1
with absurdly inappropriate ` comedy ' scenes,1
urges,2
into a terribly obvious melodrama and rough-hewn vanity project for lead actress Andie MacDowell,0
menacing atmosphere,1
for the earnest emotional core,3
"It ca n't escape its past , and it does n't want to .",2
equal parts,2
intellectual and emotional pedigree,3
Mattel,3
bland hotels,1
Reese Witherspoon,2
a therapeutic zap of shock treatment,3
would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD,1
in the cutthroat world of children 's television,2
"Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy",2
it 's likely to please audiences who like movies that demand four hankies,3
advanced,2
lyrical pessimism,2
"effectively combines two surefire , beloved genres",4
previous answer,2
"Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century",3
its lavish formalism,3
this year about the business of making movies,2
make a few points about modern man and his problematic quest for human connection,2
pretension -- and sometimes plain wacky implausibility --,2
quick-witted,3
will the actors generate,2
", I 'll buy the soundtrack .",3
Though its rather routine script is loaded with familiar situations,1
a Spielberg trademark,3
inside it he 's well worth spending some time with,3
find the oddest places,2
"are a couple of things that elevate `` Glory '' above most of its ilk , most notably the mere presence of Duvall",4
alternative housing options,3
has n't gone straight to video,2
a picture,2
Gangs,2
"in a while , a movie",2
`` ca n't handle the truth '' than High Crimes,2
"television , music and stand-up comedy",2
Its rawness,2
Most fish stories,2
tone poem,2
`` It 's all about the image . '',2
its not very informative about its titular character and no more challenging than your average television biopic,1
with one demographic while,2
the timeless spectacle of people,3
remember,2
keeping the balance between the fantastic and the believable,3
"Loud , chaotic and",1
"There must be an audience that enjoys the Friday series , but I would n't be interested in knowing any of them personally .",0
rug,2
relocated,2
into their very minds,2
", is robbed and replaced with a persecuted `` other",2
"is that those responsible did n't cut their losses -- and ours -- and retitle it The Adventures of Direct-to-Video Nash , and send it to its proper home .",1
out of character,2
naturally charming,4
sometime bitter movie,2
an expressive face reminiscent of Gong Li and a vivid personality like Zhang Ziyi 's,2
"an extraordinary poignancy ,",4
ordinary louts,2
to be truly informed by the wireless,2
're down,1
Less a study in madness or love than a study in schoolgirl obsession,2
think of a very good reason to rush right out and see it,3
"Sling Blade and South of Heaven , West of Hell",3
to the original text,2
an acting exercise or an exceptionally dark joke,1
of Aaliyah,2
middle-agers,2
presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,3
seems suited neither to kids or adults,0
core conceit,2
a fad,2
Cube 's charisma and chemistry,3
"The story is -- forgive me -- a little thin , and",1
as a tap-dancing rhino,2
The Bard as black comedy --,2
"a mixture of deadpan cool , wry humor and just the measure",4
only pain,1
"The Woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made Allen 's romantic comedies so pertinent and enduring .",3
"in their 70s , who lived there in the 1940s",2
Makes 98 minutes feel like three hours .,0
", it 's not as single-minded as John Carpenter 's original",2
the glamorous machine,2
but a few seconds,2
Chen,2
compelled,2
", the film of `` The Kid Stays in the Picture '' would be an abridged edition",2
It 's far from a frothy piece,2
influence us,2
American Breckin Meyer 's,2
"dark , challenging",2
endure almost unimaginable horror,1
to marvel again,2
Demi,2
The new Insomnia,3
"Cassavetes thinks he 's making Dog Day Afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon",1
"Alternately hilarious and sad , aggravating and soulful , scathing and joyous",4
the only good thing,2
that throws one in the pulsating thick of a truly frightening situation,3
this intricately structured and well-realized drama,3
you feel like running out screaming,0
it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,2
", monstrous lunatic",2
Fidel Castro,1
the acting is robotically italicized,2
a little scattered --,2
one-night swim,2
wanting more answers as the credits,1
suited to a quiet evening on PBS than a night out at an AMC,1
Psychologically revealing .,3
on this twisted love story,2
"While the story does seem pretty unbelievable at times , it 's awfully entertaining to watch .",3
a matinee,2
a Golden Book,2
a rollicking good time for the most part,3
you snore,1
the art of impossible disappearing\/reappearing acts,2
"otherwise appalling , and downright creepy ,",0
's nothing to gain from watching They,1
a sweet smile and,2
makes these lives count .,3
vulgarities in a sequel you can refuse,1
explode into flame,2
his impressions of life and loss and time and art with us,3
escort their little ones to megaplex screenings,2
borderline insulting,1
stranger,2
"sweet , genuine chemistry",3
accepts the news of his illness so quickly,2
pick,2
"a long , unfunny one",0
to plodding and back,1
make the stones weep --,3
the residents of a Copenhagen neighborhood coping with the befuddling complications life,2
a powerful political message stuffed into an otherwise mediocre film,2
"A dull , somnambulant exercise",0
The Sundance Film Festival,2
a single stroke,2
create an engaging story that keeps you guessing at almost every turn,4
effective horror,3
character dramas,2
the picture feels as if everyone making it lost their movie mojo .,2
"captures the intended , er , spirit of the piece",3
and downright intoxicating,2
as quickly,2
smashing,2
Real Women Have Curves,2
90 punitive minutes,0
so many distracting special effects and visual party tricks,0
with virtuoso throat-singing,3
"fans of British cinema , if only",2
're treading water at best in this forgettable effort,1
an equally great Robin Williams performance,4
impressive roster,4
", while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",3
This is a heartfelt story ... it just is n't a very involving one,1
"Presents nothing special and , until the final act , nothing",1
gets its greatest play from the timeless spectacle of people really talking to each other,3
watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped,1
"biting , be-bop",2
to those who are n't looking for them,2
lays,2
"is Holofcener 's deep , uncompromising curtsy to women she knows , and very likely is .",3
seem fresh again,3
kids-cute sentimentality,3
n't,2
may just,2
quite fun in places,3
rare quality,4
"which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run",0
too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises,1
maintaining consciousness just long enough to achieve callow pretension,1
Ratliff 's two previous titles,2
wobbly,1
"everyone , especially movie musical fans ,",2
with this claustrophobic concept,2
is that it avoids the obvious with humour and lightness,3
"this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery",3
Less a heartfelt appeal for the handicapped than a nice Belgian waffle .,2
Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .,1
this movie leaves you cool,1
"moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",4
an original idea for a teen movie,3
recite,2
"the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes .",0
Thewlis,2
their own game,2
` uhhh,2
", it also leaves you intriguingly contemplative .",3
's rarely as entertaining as it could have been,1
what a film can be,3
Calvin Jr. 's,2
our Hollywood has all but lost,1
a contained family conflict,2
shapeless inconsequential move,0
a little wit,3
Stevens ' vibrant creative instincts,3
CIA,2
"is far from disappointing , offering an original",3
Each of these stories has the potential for Touched by an Angel simplicity and sappiness,1
"Loud , silly , stupid and pointless",1
is undeniable .,2
as a daytime soaper,2
whimsical comedy,3
